order_id,customer_id,order_date,amount
1,82,2022-04-25,222.55
2,36,2022-09-08,1193.73
3,95,2022-04-15,3415.83
4,115,2023-07-13,526.0
5,55,2022-02-02,246.01
6,28,2022-08-27,2576.24
7,4,2023-07-29,1074.3
8,84,2023-12-20,2770.21
9,29,2023-04-05,2987.4
10,104,2022-01-07,3818.16
11,21,2023-12-16,2170.81
12,36,2022-06-09,1155.04
13,98,2022-12-11,600.83
14,49,2022-04-10,1859.0
15,45,2023-09-11,1396.15
16,6,2023-04-16,2727.52
17,119,2023-01-23,486.12
18,38,2023-10-06,3130.75
19,111,2023-01-06,2929.03
20,91,2022-03-13,324.54
21,30,2022-10-24,4927.59
22,110,2022-08-27,4345.77
23,49,2022-10-12,2321.71
24,107,2023-01-09,897.01
25,46,2022-08-03,3383.86
26,90,2023-12-01,3275.37
27,78,2023-10-13,938.58
28,94,2022-09-08,900.67
29,49,2022-10-04,4948.66
30,82,2023-12-06,2829.05
31,88,2022-11-29,4229.97
32,100,2022-02-27,1222.34
33,5,2022-11-20,2065.71
34,9,2022-08-05,4574.37
35,73,2022-11-19,1141.87
36,64,2023-02-10,4434.95
37,83,2023-04-15,800.07
38,18,2022-09-10,3750.45
39,69,2022-09-27,3760.37
40,55,2023-08-21,2057.06
41,29,2022-05-22,2596.68
42,12,2022-02-18,4319.4
43,20,2023-10-05,883.91
44,88,2023-03-09,3022.4
45,50,2023-01-26,3019.85
46,60,2023-06-26,1331.93
47,71,2022-01-12,3433.39
48,15,2023-11-30,4435.46
49,97,2022-10-01,3866.13
50,44,2022-04-25,1538.15
51,21,2023-04-10,115.9
52,93,2022-09-27,4862.25
53,98,2022-07-02,2587.64
54,14,2023-10-03,1562.38
55,82,2023-06-04,3083.95
56,20,2023-01-18,3836.3
57,70,2023-06-28,4600.62
58,77,2022-11-28,2494.17
59,15,2023-01-07,4405.74
60,107,2022-11-11,1273.32
61,31,2023-08-04,4740.05
62,11,2023-05-13,4098.51
63,98,2023-06-30,3852.59
64,17,2023-11-07,2428.88
65,71,2022-06-19,1398.78
66,112,2023-09-14,2173.38
67,28,2023-07-07,3800.8
68,89,2022-07-25,3593.45
69,52,2023-11-19,3284.4
70,57,2023-06-14,2312.28
71,32,2022-08-19,413.73
72,3,2023-08-26,2814.22
73,76,2022-08-14,135.24
74,91,2023-10-09,388.48
75,9,2022-02-02,4312.21
76,10,2023-06-11,1266.22
77,86,2023-05-13,1149.76
78,17,2023-08-08,2923.44
79,32,2023-04-30,4056.74
80,25,2022-04-07,574.96
81,56,2022-12-29,2175.54
82,60,2022-02-25,3399.49
83,83,2022-04-11,397.0
84,94,2022-12-14,4022.9
85,14,2022-09-12,1038.79
86,69,2023-04-05,786.89
87,24,2022-10-13,2366.88
88,112,2022-03-19,2271.34
89,111,2023-07-18,579.75
90,84,2023-07-08,4196.54
91,12,2022-08-31,914.92
92,63,2023-05-08,1147.36
93,52,2022-03-02,906.72
94,1,2023-02-04,1399.49
95,101,2023-04-11,1497.72
96,90,2023-07-24,3343.17
97,63,2022-06-08,1030.5
98,28,2022-03-01,2937.98
99,70,2022-03-04,3765.08
100,8,2022-02-21,2962.47
101,65,2023-06-28,871.42
102,66,2022-03-24,4271.58
103,9,2023-09-02,433.01
104,111,2022-08-29,2078.5
105,114,2023-08-07,1306.46
106,77,2022-02-10,3134.97
107,54,2023-11-05,2959.99
108,67,2022-11-20,4680.06
109,27,2023-11-17,3609.34
110,31,2022-09-29,2039.35
111,86,2023-10-23,1569.99
112,41,2022-03-16,145.65
113,80,2023-07-31,4980.87
114,10,2023-07-05,1144.46
115,34,2022-05-16,4672.97
116,113,2022-03-12,4408.42
117,48,2022-10-19,872.96
118,107,2023-07-11,3547.35
119,79,2023-11-01,2691.81
120,86,2023-07-22,1566.96
121,85,2022-04-17,4700.76
122,18,2022-09-28,665.6
123,14,2023-07-21,861.69
124,37,2023-09-12,1132.09
125,44,2022-07-28,3468.74
126,110,2022-09-28,2576.5
127,33,2022-02-22,552.26
128,55,2022-10-11,316.03
